"HeronIsland.Salinity.practical.salinity.units." "HeronIsland.Water.Temperature.degrees.celsius." "HeronIsland.Water.Pressure.decibar." "LadyMusgrave.Water.Temperature..degrees.celsius."
"71" 35.516 22.6564 5.6933 23.6112
"72" 35.7497 23.1561 5.5041 22.8734
"73" 35.7614 22.5379 5.5126 22.6324
"74" 35.5237 22.8717 5.6231 23.363
"75" 35.8898 28.0917 5.4542 28.2587
"76" 35.7725 26.8522 5.5798 27.2252
"77" 35.7291 24.5409 5.5396 24.9373
"78" 35.7315 27.2078 5.8798 26.8238
"79" 35.6395 21.9915 5.4274 21.5518
"80" 35.858 26.0068 5.585 26.3955
"81" 35.7722 27.3917 5.5119 27.8856
"82" 35.7398 21.3835 5.6873 21.4118
"83" 35.5325 22.0706 5.5865 23.0173
"84" 35.46 24.0056 5.5052 24.3936
"85" 35.6683 26.6269 5.8795 27.1972
"86" 35.925 27.1174 5.658 27.4435
"87" 35.6247 21.975 5.6047 22.2674
"88" 35.7624 21.6735 5.7524 21.9508
"89" 35.6262 22.2689 5.4732 21.9416
"90" 35.6714 22.5826 5.4575 22.1377
"91" 35.444 26.0263 5.8271 26.3064
"92" 35.6802 21.9281 5.4956 21.9368
"93" 35.696 22.2506 5.5007 22.1413
"94" 35.7253 22.7717 5.4964 22.3341
"95" 35.7523 27.1721 5.5648 27.0934
"96" 35.3444 22.4047 5.6965 23.1071
"97" 35.4154 27.5576 5.8045 27.8507
"98" 35.7905 23.3412 5.5497 23.3608
"99" 35.6784 21.5936 5.5746 22.4187
"100" 35.6093 22.4975 5.6765 22.923
"101" 35.6551 26.8839 5.486 27.0162
"102" 35.4836 27.0414 5.7504 27.4799
"103" 35.6547 21.7019 5.5368 22.1888
"104" 35.688 23.7538 5.5031 24.2421
"105" 35.5782 26.9472 5.8746 27.4365
"106" 35.4391 23.4307 5.6092 23.4336
"107" 35.4472 26.7081 5.8194 27.2108
"108" 35.6118 26.4344 5.6854 26.2515
"109" 35.6785 26.4961 5.6763 26.3901
"110" 35.7333 27.1996 5.6219 26.8979
"111" 35.7944 26.196 5.62 26.4997
"112" 35.5186 23.0435 5.6343 22.8688
"113" 35.8583 26.3718 5.5199 26.7626
"114" 35.5539 22.6761 5.6332 22.9374
"115" 35.7458 27.019 5.7779 27.4235
"116" 35.7518 26.9061 5.422 26.7053
"117" 35.4056 23.5827 5.7423 24.939
"118" 35.5451 25.7483 5.6491 25.0551
"119" 35.3616 24.0806 5.6838 24.6754
"120" 35.4589 25.7923 5.685 25.7764
"121" 35.8096 26.0927 5.888 27.1311
"122" 35.7141 27.7204 5.6926 27.2421
"123" 35.8707 27.7953 5.4748 28.112
"124" 35.489 27.1186 5.8907 27.298
"125" 35.4908 26.6356 5.8522 27.2727
"126" 35.5664 21.3002 5.7636 22.0311
"127" 35.4518 25.3591 5.7336 25.9895
"128" 35.4216 24.8265 5.8474 25.6495
"129" 35.4534 26.0436 5.8124 26.2404
"130" 35.6991 26.1195 5.5149 26.4665
"131" 35.3396 23.9645 5.6721 24.734
"132" 35.3892 25.1571 5.8574 25.9126
"133" 35.5351 27.5296 5.6159 27.9035
"134" 35.4298 25.6055 5.8999 26.4571
"135" 35.4823 24.8398 5.667 25.2669
"136" 35.9034 27.7196 5.5137 27.7091
"137" 35.77 22.7945 5.5214 22.7939
"138" 35.6877 21.0654 5.5867 21.547
"139" 35.615 27.6022 5.7785 27.6334
"140" 35.4421 24.1252 5.7382 25.4125
"141" 35.9327 27.8464 5.5664 27.6827
"142" 35.4029 25.1598 5.6631 25.6478
"143" 35.5964 27.5036 5.5028 27.8674
"144" 35.66 21.5368 5.5491 22.2271
"145" 35.5216 24.9661 5.7525 26.1753
"146" 35.5947 27.0601 5.7819 27.5675
"147" 35.8701 27.3752 5.6123 27.1752
"148" 35.6613 23.2102 5.4651 22.724
"149" 35.8607 28.0768 5.5141 28.3449
"150" 35.4593 25.9048 5.6939 25.8188
"151" 35.6706 23.5674 5.551 24.0839
"152" 35.7019 26.7307 5.8335 27.2353
"153" 35.5891 22.6359 5.697 23.2529
"154" 35.867 27.5301 5.584 27.2333
"155" 35.6744 22.9565 5.436 22.5297
"156" 35.5217 24.3077 5.6058 25.3517
"157" 35.5056 22.9315 5.649 23.7554
"158" 35.7564 23.2601 5.5085 23.1379
"159" 35.7109 22.2386 5.7481 21.2298
"160" 35.6947 21.7369 5.6812 22.1785
"161" 35.4379 23.3271 5.6121 23.3453
"162" 35.5128 22.5668 5.57 22.8605
"163" 35.7902 26.2381 5.4872 26.4293
"164" 35.6761 21.0016 5.6466 22.08
"165" 35.4759 25.8027 5.9044 26.6682
"166" 35.7141 25.907 5.4987 25.7393
"167" 35.7557 27.2454 5.6609 26.9846
"168" 35.4735 25.1238 5.7424 26.0404
"169" 35.7535 26.0218 5.7123 26.9646
"170" 35.661 21.6592 5.5711 21.6275
"171" 35.6664 21.6228 5.553 22.245
"172" 35.6466 21.3504 5.5734 21.8966
"173" 35.7061 27.0401 5.5386 27.366
"174" 35.687 26.321 5.7186 26.2466
"175" 35.4408 27.2465 5.7561 27.5015
"176" 35.7306 26.9659 5.4418 26.5857
"177" 35.5143 22.7752 5.5683 23.1727
"178" 35.5138 23.5397 5.5784 24.2239
"179" 35.4404 26.693 5.8125 27.1001
"180" 35.6966 25.1322 5.4933 25.0273
"181" 35.7327 22.1063 5.6929 22.1625
"182" 35.5758 27.6615 5.8062 27.6959
"183" 35.7992 23.2593 5.5879 23.4397
"184" 35.7624 26.3775 5.6363 26.3708
"185" 35.6175 26.6625 5.4773 26.5021
"186" 35.5004 22.8792 5.6125 23.5732
"187" 35.7756 23.3449 5.5826 23.0046
"188" 35.6269 24.2481 5.7263 24.9497
"189" 35.8175 23.1196 5.6056 22.9338
"190" 35.6756 26.398 5.6306 26.4586
"191" 35.5952 21.8941 5.6946 22.264
"192" 35.7063 26.2153 5.7367 26.204
"193" 35.9446 27.3776 5.6822 27.43
"194" 35.7752 22.6436 5.5288 23.2077
"195" 35.8554 27.6278 5.5751 27.6159
"196" 35.3599 27.073 5.7664 27.4131
"197" 35.6205 27.6714 5.7256 27.3182
"198" 35.5932 22.572 5.622 23.7523
"199" 35.9016 27.9852 5.4583 28.2377
"200" 35.7239 26.4909 5.7362 26.854
"201" 35.4876 23.849 5.7571 25.3407
"202" 35.3757 26.969 5.7834 27.4333
"203" 35.694 26.7914 5.8478 27.2256
"204" 35.813 27.8881 5.5819 27.2334
"205" 35.4711 26.3905 5.8412 26.983
"206" 35.5941 27.327 5.8695 27.5545
"207" 35.6666 21.4612 5.5362 22.0337
"208" 35.5641 21.9236 5.7261 23.4886
"209" 35.4289 27.2654 5.8141 27.2222
"210" 35.6712 22.8738 5.4618 22.2906
"211" 35.6597 26.3933 5.6282 26.4283
"212" 35.4239 25.7824 5.7102 25.8828
"213" 35.6785 25.4395 5.4379 25.2552
"214" 35.5103 25.0981 5.7196 25.5031
"215" 35.9126 27.6892 5.5198 27.6362
"216" 35.4963 24.0422 5.6133 25.129
"217" 35.6869 27.05 5.4301 26.6462
"218" 35.4451 22.9132 5.6036 23.4558
"219" 35.7675 26.1695 5.53 26.7749
"220" 35.841 23.7365 5.5031 23.3808
"221" 35.7572 27.0454 5.5572 27.0999
"222" 35.8853 27.5589 5.5576 27.5911
"223" 35.619 22.3702 5.567 22.4123
"224" 35.7465 27.5496 5.7111 27.4388
"225" 35.6697 27.3047 5.8481 27.5727
"226" 35.4989 22.5275 5.7139 23.5386
"227" 35.7971 23.3128 5.5092 23.3296
"228" 35.7641 26.4293 5.5431 26.7111
"229" 35.7301 21.0867 5.7568 21.9019
"230" 35.8864 27.1133 5.5623 27.9794
"231" 35.6653 27.421 5.7628 27.4155
"232" 35.4244 26.9243 5.8283 27.5161
"233" 35.8082 26.5705 5.6778 27.5734
"234" 35.7878 24.3808 5.5418 24.9678
"235" 35.7701 20.9734 5.7946 22.0423
"236" 35.5932 22.4825 5.7824 23.8341
"237" 35.3937 26.0919 5.7046 26.537
"238" 35.8584 27.9366 5.5516 28.4929
"239" 35.6593 27.1149 5.4632 26.9421
"240" 35.6719 21.6506 5.5377 22.4378
"241" 35.8256 23.2794 5.5692 23.0874
"242" 35.6772 26.7168 5.6134 26.6476
"243" 35.7982 20.6039 5.7592 21.2016
"244" 35.8823 27.2819 5.6063 27.7701
"245" 35.62 26.5391 5.4899 26.2637
"246" 35.5725 22.4795 5.7469 22.4948
"247" 35.6856 22.2848 5.4885 22.1617
"248" 35.5851 21.9179 5.7398 22.2715
"249" 35.5695 22.4597 5.5497 22.7593
"250" 35.5594 22.4664 5.683 23.6742
